,Dates,006929.OF,004200.OF,050027.OF,002650.OF,100058.OF,100066.OF,006804.OF,004920.OF,000191.OF,002864.OF,270048.OF,006591.OF,006998.OF,040040.OF,040026.OF,000186.OF,000015.OF,004042.OF,004672.OF,006668.OF,006884.OF,004555.OF,004705.OF,003280.OF,003327.OF,006985.OF,110037.OF,000205.OF,000032.OF,007169.OF,005705.OF,217022.OF,161713.SZ,002920.OF,380005.OF
0,2019-07-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2019-7-16,1.00009862905612,1.000384499140356,0.9999088597970269,1.000276118579647,1.0001887845110788,1.000280034192082,1.0,1.0000965951518175,1.0001889580245593,1.0000938461629427,1.0,1.0,1.00009895141272,1.0000934047756047,1.0,1.0,1.0,1.0000893541336036,1.0004668534080299,1.0,1.0000982028871648,1.0,1.0,1.0001824817518248,1.0,0.9999011369253584,1.0,1.0,1.0,1.0002983299507224,0.9999047345156605,1.0,1.0,1.0,1.0
2,2019-7-17,1.0,1.0002883721379068,0.9997265793910808,1.000276118579647,1.0001887845110788,1.000280034192082,1.0000984833563127,1.0,1.0000944790122797,1.0000938461629427,1.0,1.0000983086984772,1.0001979028254402,1.0000934047756047,1.0,1.0000967021216063,1.0008150004562377,1.0001787170179792,1.0005602240896359,0.9999015551105817,1.000687420210154,1.0,1.0008952551477173,1.0000912408759124,0.9998160513781946,1.0,1.0,0.9991158225678696,1.0,1.0004972165845372,1.0000952654843396,1.0,1.0,1.000094467802329,1.0
3,2019-7-18,0.9999013709438801,1.0001922540048986,1.0,1.0003681551622499,1.0001887845110788,1.000466728565575,1.0001969667126254,1.0001931813975729,1.000188958024559,1.0001877012440803,0.9991539781575954,1.0000983086984772,1.0001979028254402,1.0001873460604909,1.0,1.000386808486425,1.0008150004562377,1.0005361423031653,1.0004668534080297,1.0,1.000785623097319,1.0009680462443413,1.0008952551477173,1.0003649635036498,1.000275905629668,1.0002965892239248,1.0,0.9999999999999999,1.0,1.000696103218352,1.0002857964530185,1.0,1.0,1.000094467802329,1.0009380814918742
4,2019-7-19,0.9999013709438801,1.000384499140356,0.9996354391881076,1.0004601917448528,1.00028317363659,1.000746762757657,1.0001969667126254,1.000289767643328,1.0003779231677905,1.0002815563252176,0.9999999999999999,1.0000983086984772,1.0003958056508804,1.0003752286302632,1.0,1.000386808486425,1.0008150004562377,1.0007148593211446,1.0003734827264237,1.0000984448894183,1.000982028871649,1.0009680462443413,1.0008952551477173,1.0002737226277374,1.000275905629668,1.0003954522985665,1.0,0.9999999999999999,1.0,1.0008949898521666,1.0002857964530185,1.0,1.0,1.0001889445896113,1.0009380814918742
5,2019-7-22,1.0003945162244798,1.000769007150153,1.0005468477671489,1.0008283469071027,1.0004719644077251,1.001120136768328,1.0004924167815639,1.0006761304384735,1.0008503395852046,1.0005631126504353,0.9999999999999999,1.000491543492386,1.0006926598890407,1.0008449350546944,1.0009496717361632,1.0008703190944563,1.0016299933274775,1.0013403645086854,1.0010270774976655,1.0005906693365103,1.0016694490818032,1.0009680462443413,1.0008952551477173,1.0005474452554748,1.000551819910856,1.0011863568956993,1.0,0.9999999999999999,1.0008291866829988,1.001491649753611,1.0005715929060373,1.0007032393713398,1.0,1.0004723659665051,1.0009380814918742
6,2019-7-23,1.0005917743367196,1.0009612611550516,1.0010025553313247,1.0012885386519557,1.0008495334298828,1.0014935181471565,1.0006893834941895,1.0009659069878638,1.0011337837407155,1.0007508138945154,1.0008460287923338,1.0005898521908632,1.0009895141272007,1.001032810172949,1.0009496717361632,1.001160425459275,1.0016299933274775,1.0015190727758922,1.0014939309056954,1.0008860040047656,1.001865854856133,1.0009680462443413,1.0017905102954343,1.0007299270072996,1.001103648473232,1.0013840830449827,1.0,1.000884170422026,1.0008291866829988,1.001491649753611,1.0007621238747162,1.0014064731310404,1.0,1.0005668337688338,1.0018761702495589
7,2019-7-24,1.0008876615050792,1.0012496332929584,1.000729128173095,1.0012885386519557,1.001321497837608,1.0014935181471565,1.0007878668505021,1.0011590883854367,1.0013227488839467,1.0008446689756527,1.0008460287923338,1.0007864695878177,1.0010884655399208,1.0011267514578355,1.0009496717361632,1.001160425459275,1.0016299933274775,1.00125100162431,1.0008403361344536,1.000984448894184,1.0020622606304628,1.001936101395171,1.0017905102954343,1.0010036496350367,1.0012875884435175,1.0010874938210579,1.0,1.000884170422026,1.0008291866829988,1.0016905363874258,1.0010479203277347,1.0014064731310404,1.0009842522960082,1.0007557873433988,1.0009380814918745
8,2019-7-25,1.001084919617319,1.0012496332929584,1.0010936955342977,1.0012885386519557,1.0016990731198214,1.0018668921578275,1.0008863502068148,1.001255674631192,1.0014172278962266,1.0009385240567903,1.0008460287923338,1.0008847782862949,1.0010884655399208,1.001314634027608,1.0009496717361632,1.0015472339456999,1.0016299933274775,1.0015190727758922,1.0014939309056952,1.001476663536008,1.0022586664047926,1.001936101395171,1.0017905102954343,1.0010948905109491,1.0016554770356083,1.0012852199703413,1.000907444804206,1.000884170422026,1.0016583733659976,1.0017899797043335,1.0013337167807532,1.0014064731310404,1.0009842522960082,1.0008502551457277,1.0009380814918745
9,2019-7-26,1.001380806785679,1.001345760295408,1.0012759759402439,1.0013805840663963,1.0019822530164675,1.0021469263499097,1.0008863502068148,1.0014488560287649,1.0017006791704093,1.0010329053114155,1.0008460287923338,1.0011797043817265,1.0011874070624447,1.0015964578822667,1.0018993369780451,1.0020307516433296,1.002444993783715,1.001787152678247,1.0014005602240892,1.0016735533148449,1.0024550721791223,1.001936101395171,1.0026857654431516,1.001277372262774,1.0017474426949908,1.0014829461196244,1.000907444804206,1.000884170422026,1.0016583806567048,1.001889423021241,1.0011431858120743,1.0021097068907412,1.0009842522960082,1.0009447319330103,1.001876170249559
