,Dates,006929.OF,004200.OF,050027.OF,002650.OF,100058.OF,100066.OF,006804.OF,004920.OF,000191.OF,002864.OF,270048.OF,006591.OF,006998.OF,040040.OF,040026.OF,000186.OF,000015.OF,004042.OF,004672.OF,006668.OF,006884.OF,004555.OF,004705.OF,003280.OF,003327.OF,006985.OF,110037.OF,000205.OF,000032.OF,007169.OF,005705.OF,217022.OF,161713.SZ,002920.OF,380005.OF
0,2019-7-16,1.00009862905612,1.000384499140356,0.9999088597970269,1.000276118579647,1.0001887845110788,1.000280034192082,1.0,1.0000965951518175,1.0001889580245593,1.0000938461629427,1.0,1.0,1.00009895141272,1.0000934047756047,1.0,1.0,1.0,1.0000893541336036,1.0004668534080299,1.0,1.0000982028871648,1.0,1.0,1.0001824817518248,1.0,0.9999011369253584,1.0,1.0,1.0,1.0002983299507224,0.9999047345156605,1.0,1.0,1.0,1.0
1,2019-7-17,0.9999013806706114,0.9999039099440945,0.9998177029794664,1.0,1.0,1.0,1.0000984833563127,0.9999034141779047,0.9999055388369151,1.0,1.0,1.0000983086984772,1.0000989416223067,1.0,1.0,1.0000967021216063,1.0008150004562377,1.000089354900146,1.000093327111526,0.9999015551105817,1.0005891594658287,1.0,1.0008952551477173,0.9999087757708447,0.9998160513781946,1.0000988728495155,1.0,0.9991158225678696,1.0,1.000198827317671,1.0001905491214333,1.0,1.0,1.000094467802329,1.0
2,2019-7-18,0.9999013709438801,0.9999039095767926,1.0002734953881949,1.0000920111766076,1.0,1.0001866421073213,1.0000984736582963,1.0001931813975729,1.000094470086839,1.0000938462740248,0.9991539781575954,1.0,1.0,1.000093932511141,1.0,1.0002900783136304,1.0,1.000357361418619,0.9999066815976109,1.0000984545817688,1.0000981354268892,1.0009680462443413,1.0,1.0002736976553235,1.000459938856592,1.0002965892239248,1.0,1.0008849598936966,1.0,1.0001987877932272,1.0001905128193829,1.0,1.0,1.0,1.0009380814918742
3,2019-7-19,1.0,1.0001922081826646,0.9996354391881076,1.0000920027113298,1.0000943713096697,1.000279903553098,1.0,1.000096567590693,1.000188929443497,1.000093837467728,1.0008467382014177,1.0,1.0001978636676614,1.0001878473773063,1.0,1.0,1.0,1.00017862125157,0.9999066728884741,1.0000984448894183,1.0001962515945444,1.0,1.0,0.9999087924115286,1.0,1.000098833761613,1.0,1.0,1.0,1.0001987482844943,1.0,1.0,1.0,1.000094467863111,1.0
4,2019-7-22,1.0004931939238508,1.0003843602236213,1.0009117409640673,1.0003679858182142,1.0001887373257001,1.0003730953969237,1.0002953918865696,1.0003862508721406,1.0004722379477529,1.000281477073567,1.0,1.0003931961393082,1.0002967367880626,1.0004695302432411,1.0009496717361632,1.0004833236543402,1.0008143291925762,1.0006250583587468,1.0006533507560202,1.0004921759948806,1.0006867458059452,1.0,1.0,1.0002736477241632,1.0002758381758825,1.0007905919557267,1.0,1.0,1.0008291866829988,1.0005961263743888,1.0002857147967432,1.0007032393713398,1.0,1.0002833678360743,1.0
5,2019-7-23,1.0001971803214038,1.0001921062738004,1.0004554584977132,1.0004598108619476,1.0003773909070817,1.0003729636085772,1.0001968697706467,1.0002895807550274,1.0002832033365032,1.0001875956066208,1.000846028792334,1.0000982603992175,1.000296648761462,1.000187716509995,1.0,1.0002898540992615,1.0,1.0001784690536215,1.0004663744053726,1.0002951603261012,1.0001960784313726,1.0,1.0008944543828264,1.0001823819077147,1.00055152422033,1.000197491853461,1.0,1.0008841704220262,1.0,1.0,1.0001904221247433,1.0007027395655703,1.0,1.0000944232000226,1.0009372095787248
6,2019-7-24,1.0002957121734843,1.000288095203179,0.9997268466930745,1.0,1.000471563798514,1.0,1.0000984155102843,1.0001929949823707,1.0001887511402574,1.0000937846663067,1.0,1.0001965014901202,1.0000988535956907,1.000093844361475,1.0,1.0,1.0,0.999732335450348,0.9993473801976507,1.0000983577440632,1.0001960399921583,1.000967118934977,1.0,1.0002735229759299,1.0001837371890172,0.9997038207128048,1.0,1.0,1.0,1.0001985904064838,1.0002855788065919,1.0,1.0009842522960082,1.0001888465299746,0.9990636679606315
7,2019-7-25,1.0001970831690974,1.0,1.0003643017385417,1.0,1.0003770769758054,1.0003728172014152,1.0000984058256248,1.0000964744233718,1.00009435420536,1.0000937758715682,1.0,1.0000982314424351,1.0,1.0001876711110744,1.0,1.000386360144277,1.0,1.000267736213145,1.0006530459930962,1.0004917305582197,1.0001960015680125,1.0,1.0,1.0000911493938565,1.0003674155121234,1.000197511356903,1.000907444804206,1.0,1.0008284997020789,1.0000992754880826,1.000285497274621,1.0,1.0,1.0000943964586801,1.0
8,2019-7-26,1.0002955665024633,1.0000960070288698,1.0001820812644804,1.0000919269629958,1.0002826995694067,1.0002795123726256,1.0,1.0001929391288034,1.0002830501276458,1.000094292758603,1.0,1.0002946653819,1.0000988339451804,1.0002814538458558,1.000948764227311,1.0004827707383552,1.0008136741727651,1.0002676732871514,0.9999067685996644,1.000196599467572,1.0001959631589261,1.0,1.0008936550491512,1.0001822821728035,1.0000918136639703,1.0001974723538705,1.0,1.0,1.0000000072786364,1.0000992656334382,0.999809722807206,1.0007022460694728,1.0,1.0000943965261504,1.0009372095787248
9,2019-7-29,1.0003939722249582,1.0002879934372146,1.0002730721753934,1.0005514669809288,1.000282619672947,1.0004657213280266,1.0003935845714849,1.0004822503296034,1.0002829629263563,1.0001885766456267,1.0008453066886076,1.0002945785797903,1.0002965021693901,1.0002813746518777,1.0,1.000289518424802,0.9991869873546264,1.0001783894580094,1.0,1.0002948412357278,1.0002938871473355,1.0009661845196334,1.0,1.0002733734281029,1.000275432977843,1.0001974333662391,1.0,1.0,1.0,1.0002977574364844,1.0,1.0,1.0,1.0001887662561013,1.0
10,2019-7-30,1.0000984542679925,1.0002879105208742,1.0001820049574035,1.000091859036319,1.0001883577991213,1.0000931038461076,1.0,1.0001928089283076,0.9999057080745289,1.0000942660919336,1.0,1.0000981639429352,1.0,1.0001875303349692,1.0,1.0002894346281441,1.0008136741727651,1.0000891875540463,1.00009324009324,1.0001965028866646,1.0000979336010187,1.0,1.0,1.0000910995718322,1.0,1.0000986971969996,1.000906615050017,1.0008833963591988,1.000894449766947,1.0,1.0001903134050945,1.0007017532659999,1.0009832844959854,1.000188730630127,1.0
11,2019-7-31,1.0002953337271117,1.0005756464521076,1.0010917983358192,1.0004592618090489,1.0003766446542843,1.0003723733660874,1.000098357430904,1.0002891620838752,1.000471518296874,1.0000942572066749,1.0,1.0001963183491107,1.0002964142819126,1.000281235324751,1.0,1.0004822514666332,1.0008130050788755,1.0002675213353593,1.0002796942010068,1.0002946964212993,1.0002937720329024,1.0,1.0,1.000273273820368,1.0000917885898193,1.0005921247409453,1.0,1.0,1.0,1.0003969049416033,1.000380554385588,1.000701261153695,1.0,1.0000943519953414,1.0009363320393685
12,2019-8-1,1.000492077551422,1.0007670899809915,1.0005453070715506,1.0003672425495596,1.0006588893449433,1.0005583411153718,1.000098347757671,1.0005781392174553,1.0004712960721525,1.0001885055518167,1.0008445927487082,1.000098135042012,1.0002963264465219,1.0002811636877436,1.0009478649269758,1.0002892114073545,1.0008123446385586,1.000267449786835,1.000093205331345,1.0003928128012058,1.0005873715124816,1.0009652519081824,1.000892857142857,1.0002731991621892,1.0001835516976365,1.0002958871683598,1.0009058008819847,1.0008826096611259,1.0008936577136498,1.0002975606029285,1.000475512023799,1.0,1.0009823185973383,1.000094334121643,1.0
