,Dates,001702.OF,400032.OF,005847.OF,002340.OF,005609.OF,100026.OF,519915.OF,005739.OF,270007.OF,270005.OF,270022.OF,004851.OF,270028.OF,450003.OF,450004.OF,519133.OF,519003.OF,519002.OF,001445.OF,001694.OF,002980.OF,540008.OF,519069.OF,005267.OF,519714.OF,004075.OF,001951.OF,001667.OF,519171.OF,005094.OF,001410.OF,001475.OF,001018.OF,110015.OF,005106.OF,003940.OF,005543.OF,005794.OF,501022.SH,000339.OF,200012.OF,001869.OF,166006.SZ,005275.OF,166009.SZ,002685.OF,166019.OF,001173.OF,001980.OF,001000.OF,005241.OF,001990.OF,004812.OF,002621.OF,003095.OF
0,2018-09-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2018-9-19,1.007186134986614,1.0129386742289967,1.0031389226407452,1.0098199672667758,1.016618911174785,1.0153121322308245,1.0184824902723735,1.0102815749503447,1.0118312218615853,1.0176258494440502,1.0110884527147592,1.0165735209096163,1.0110526315789474,1.0137931064726706,1.0144787652083345,1.021493206823766,1.0187637958158307,1.016396874127826,1.0103626943005182,1.0119124797406807,1.016431924882629,1.0106213489113118,1.0118315670253217,1.028816199376947,1.0230366462856477,1.0131767658659019,1.0272628135223554,1.0167832167832167,1.0156028368794325,1.016462306993642,1.0119272288065222,1.0202429149797572,1.0160349854227404,1.014390925251841,1.0147058823529411,1.0183354457118716,1.01638937174075,1.0169887449564663,1.002560819462228,1.015703830029134,1.0162785263649816,1.010381905821283,1.0169286577992744,1.015968525804212,1.0133587786259541,1.0174297841596678,1.0061475409836065,1.0029527559055118,1.009840515778758,1.012970168612192,1.0113804483896665,1.0154373927958835,1.0219541616405308,1.030008826125331,1.014603899812352
2,2018-9-20,1.0052134704804847,1.010811768876285,1.0029364115026327,1.000818330605565,1.0049283667621776,1.0158169274831435,1.0204280155642023,1.008762705923589,1.0094230970578997,1.0137535036993248,1.0096864644404793,1.0099248410098283,1.0121052631578948,1.0137931064726706,1.0135135110730051,1.020361988950879,1.0176600425455937,1.0154898130058612,1.0077720207253889,1.0094003241491085,1.0140845070422535,1.0142503097893434,1.0132068602863846,1.0315976858032934,1.016753926869195,1.0077984940839013,1.0218102508178843,1.0167832167832167,1.0113475177304962,1.0186194368755677,1.0063410583528345,1.0107962213225372,1.0174927113702623,1.0133327689833234,1.0105736509479826,1.0138572032108153,1.017630990812019,1.0146527925249522,1.0012804097311139,1.0138563206139417,1.0139418957862762,1.0093622543566927,1.0124697702539298,1.0119185373756074,1.0086938083121288,1.0184231915470063,1.0028041415012943,1.0019685039370079,1.0057685782151338,1.0090791180285343,1.0075110959371798,1.0144725557461407,1.0141133896260557,1.0238305383936452,1.0085665334094802
3,2018-9-21,1.0166267436945189,1.031371853952499,1.0090117456460106,1.014729950900164,1.008481375358166,1.038112065792241,1.0428015564202335,1.0287416754293726,1.0313056224479114,1.0376552264278327,1.0223043589089982,1.0338215455771822,1.0221052631578948,1.0463054177350835,1.040540539907816,1.0384615325504254,1.0342163350803497,1.0404688808261235,1.0267702936096723,1.0298217179902753,1.028169014084507,1.0321295804567183,1.0455464768222638,1.0673119715175792,1.0460732925712957,1.0286841161706706,1.040348964013086,1.0377622377622377,1.0354609929078011,1.0481380563124432,1.0197780629576507,1.00944669365722,1.0276967930029155,1.0405485482095995,1.027588721438989,1.0428390367553864,1.0476781723367272,1.0450201741346359,1.0051216389244557,1.039792510481063,1.0322455019861358,1.0321653689284391,1.0353688029020556,1.0385327470492938,1.0379983036471585,1.0419940395556762,1.019251509922347,1.014763779527559,1.0219432190928626,1.0337224383916992,1.0253783999089563,1.0261578044596913,1.0151990349819062,1.0520741394527804,1.03353185934568
4,2018-9-25,1.014090460758067,1.0278270116979793,1.006075334143378,1.0155482815057288,1.01810888252149,1.0280161535629997,1.038910505836576,1.0212641663745765,1.0246047534289604,1.0311122964950956,1.0166964058118786,1.0341106186163034,1.0184210526315791,1.0374384241973922,1.0318532794450552,1.0282805428777653,1.0242825589076163,1.0396315936366174,1.0172711571675306,1.0239059967585087,1.0293427230046948,1.0292972207470352,1.0373553919585796,1.0530707610146863,1.0314136139329055,1.0276084618142705,1.025081788440567,1.0335664335664336,1.0354609929078011,1.0442779291553133,1.0197780629576507,1.0175438596491229,1.0262390670553936,1.0292474392618303,1.0330578512396693,1.0374313476975072,1.0531412962503106,1.0520811212571672,1.0038412291933418,1.0363106658139698,1.0280395669444662,1.023915461624027,1.033630592503023,1.0342513307104835,1.0343935538592026,1.032782443782173,1.0193593615185508,1.0108267716535433,1.0165139690080307,1.0363164721141376,1.0184363263912597,1.0228344768439108,1.014113389626056,1.0485436893203886,1.0394876397160806
5,2018-9-26,1.0176130759475834,1.0381070542360864,1.0101255569056298,1.023731587561375,1.0261318051575932,1.0442537434571233,1.056420233463035,1.028975347587335,1.0330855407810702,1.0449993307317125,1.0279123120061178,1.0531894391983039,1.0315789473684212,1.0541871935584144,1.0444015430715319,1.0350678693262052,1.0298013252588014,1.0542143455205135,1.0241796200345428,1.040923824959481,1.0363849765258215,1.0333687378297047,1.0532926138661922,1.062972852692479,1.0513088962976664,1.0456256722839727,1.0294438386041438,1.0461538461538462,1.051063829787234,1.0475703905540417,1.026949497999547,1.0229419703103915,1.0379008746355687,1.0472360958266318,1.0488575595527467,1.0577101816645542,1.0586044201638938,1.0591420683796986,1.0025608194622277,1.0504512186456334,1.0374639769452452,1.0321653689284394,1.0446644498186215,1.046979865771812,1.0430873621713317,1.0409103224058522,1.029012079378775,1.0137795275590553,1.0229612034837685,1.054474708171206,1.0293615568453396,1.0274442538593482,1.02183353437877,1.06531332744925,1.0618422126132006
6,2018-9-27,1.0070452303790334,1.0384615384615383,1.0093155123531794,1.0130932896890348,1.018681948424069,1.0382803296792038,1.0525291828793775,1.0238345601121626,1.0346560569573866,1.03685405205669,1.0265103237318378,1.0535748699171321,1.015263157894737,1.0463054177350832,1.0405405399078163,1.0237556521750992,1.0198675490860678,1.0456321518280771,1.0129533678756482,1.0349270664505668,1.028169014084507,1.0153124446804749,1.0482768384434917,1.0598575878949714,1.0492146564921823,1.04930082466834,1.0185387131952017,1.0377622377622377,1.0567375886524821,1.0363306085376929,1.0095115875292517,1.0107962213225372,1.0313411078717203,1.0477440108355203,1.043753038405445,1.0532319391634979,1.058480258256767,1.0563813973242728,0.9999999999999999,1.0512328572443685,1.028662668432121,1.0228031145717467,1.0375604594921402,1.03992131451053,1.033757421543681,1.035852975706674,1.0265314926660916,1.0098425196850396,1.005881687591901,1.053177691309987,1.0191191532946398,1.0161878216123499,1.0123039806996383,1.059135039717564,1.0686954393407846
7,2018-9-28,1.013949556150486,1.0462601914214817,1.0114418793033615,1.0163666121112933,1.0192550143266477,1.049385832413083,1.0622568093385216,1.032129921719827,1.0421945346037063,1.0448658024075725,1.0293143002803975,1.0630179225284253,1.0263157894736845,1.0630541870961057,1.049227800370577,1.0294117607506523,1.0253863121778533,1.0533770583310076,1.0164075993091541,1.040923824959481,1.0316901408450703,1.0228359001593208,1.0573982687484833,1.0635291499777484,1.0575916241394399,1.0543205449982072,1.0229007633587783,1.0461538461538462,1.0652482269503545,1.038714804722979,1.0110968521174606,1.008097165991903,1.0320699708454812,1.0554473884703293,1.050072921730676,1.0628643852978452,1.0663024584057612,1.0644510511785943,1.0012804097311137,1.061109926810204,1.0357504478541946,1.0311457174638492,1.045949214026602,1.0487155750983568,1.0466921119592876,1.045064571480177,1.0348899913718725,1.0157480314960632,1.0091618595181535,1.0648508430609596,1.0277682940707864,1.0219768439108061,1.0174909529553684,1.0759046778464256,1.0832993391531367
8,2018-9-30,1.0138086515429054,1.0460829493087556,1.0114418793033615,1.0163666121112933,1.0192550143266477,1.049301699571744,1.0622568093385216,1.032129921719827,1.0420898335252853,1.0447322718702807,1.0293081060412947,1.0629215648487182,1.0263157894736845,1.0630541870961057,1.049227800370577,1.0294117607506523,1.0253863121778533,1.0533838612894224,1.0164075993091541,1.0409033630470013,1.0316901408450703,1.0227537794299884,1.0573937848879542,1.0635291499777484,1.0575916241394399,1.0542309071351739,1.0229007633587783,1.0461538461538462,1.0652482269503545,1.0386012715712987,1.0103084245489546,1.008097165991903,1.0320699708454812,1.0554478540590873,1.0498298492950902,1.0627677228559356,1.0661782964986344,1.0643448715226165,1.0012804097311137,1.0609678107013432,1.0356725601682377,1.031144160177976,1.0458271992140264,1.0485998611432539,1.046638524173028,1.0450363316174478,1.0348012349007767,1.0157480314960632,1.009048750141386,1.0648508430609596,1.0276544895868898,1.021895400943396,1.0173703256936073,1.0759046778464256,1.0833303744798888
9,2018-10-8,0.9822460194448359,1.0069124423963134,0.9954434993924663,0.9762684124386256,0.9897994269340976,1.0070671389196115,1.0165369649805447,0.9943918682089029,1.0081666841168464,0.9898517809708167,1.0027362860056077,1.0144536519560607,0.9842105263157898,1.0118226612986787,1.0028957557171871,0.987556555370448,0.9889624705570295,1.0043292213229138,0.9818652849740936,0.9983132090761746,0.9906103286384975,0.9639881394937164,1.0109249514602379,1.0162438807298624,1.0073298435318552,1.011652922194335,0.9825517993456923,1.0041958041958041,1.0141843971631204,0.99613987284287,0.9643853098814826,0.9851551956815114,0.9985422740524785,1.0066795902818928,1.0210257656781723,1.0127725897760875,1.0062080953563448,1.0132724569972396,0.9948783610755438,1.017835571662048,0.9985201339668202,0.9906460511679648,1.002797679866989,1.0012728535061328,1.00033647158609,0.9979534001625574,1.0072887133304576,0.9931102362204725,0.9747766089808839,1.0077821011673151,0.9765562763172868,0.9863724807032589,0.9884197828709294,1.0282436010591351,1.0266295015093414
