,PairsTrading
2019-11-27,0.0
2019-11-28,0.0
2019-11-29,0.0
2019-11-30,0.0
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,0.0
2019-12-05,0.0
2019-12-06,0.0
2019-12-09,0.0
2019-12-10,0.0
2019-12-11,0.0
2019-12-12,0.0
2019-12-13,0.0
2019-12-16,0.0
2019-12-17,0.0
2019-12-18,0.0
2019-12-19,0.00028484652121396614
2019-12-20,-0.00030360734774814713
2019-12-23,3.7755868436795126e-05
2019-12-24,0.00013580653450540048
2019-12-25,0.00010379405744291118
2019-12-26,0.00012106357403855275
2019-12-27,-1.7318377443231725e-06
2019-12-30,8.699647571974722e-05
2019-12-31,-5.117021671940947e-05
2020-01-02,9.630551260864095e-05
2020-01-03,0.00026280857528501733
2020-01-06,-0.0002138987771447276
2020-01-07,0.00013831133918928984
2020-01-08,0.00013827656243181607
2020-01-09,0.0
2020-01-10,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.00020375009079087736
2020-01-20,9.60984047664315e-05
2020-01-21,-0.0001847991785213221
2020-01-22,2.5453505718253666e-05
2020-01-23,9.983518668432723e-07
2020-02-03,-2.1704943576561497e-05
2020-02-04,0.00010987577583236596
2020-02-05,7.814974978618641e-05
2020-02-06,1.5254179480561621e-05
2020-02-07,-4.9840317834060066e-05
2020-02-10,-0.00012492151177575145
2020-02-11,0.0001101580725078044
2020-02-12,4.65045397195866e-05
2020-02-13,-7.235991807830189e-05
2020-02-14,2.0616545299501077e-05
2020-02-17,-7.129318796517126e-05
2020-02-18,-4.873215427503297e-05
2020-02-19,-2.585556061424077e-05
2020-02-20,0.00022379683587603338
2020-02-21,-0.0001763722815198617
2020-02-24,0.0001158897955947147
2020-02-25,-6.400290353638279e-05
2020-02-26,-0.00011995873073247787
2020-02-27,7.61925116719908e-05
2020-02-28,0.00013630386529236982
2020-02-29,-5.519207933324389e-05
2020-03-02,-5.515905220632167e-05
2020-03-03,-1.4916117660357381e-05
2020-03-04,-0.00020107070325259269
2020-03-05,-0.00017223205240364986
2020-03-06,5.5496427828360994e-05
2020-03-09,-0.00013820730994278379
2020-03-10,0.00023543831287106134
2020-03-11,4.227532477914704e-05
2020-03-12,2.8717581930802038e-05
2020-03-13,0.0003226037755127051
2020-03-16,0.00011662516434121639
2020-03-17,0.0001345164616373129
2020-03-18,0.0006073239982724021
2020-03-19,0.0
2020-03-20,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,-0.0006377231346890166
2020-03-27,0.0003134847739494073
2020-03-30,-0.00010080570767279085
2020-03-31,-0.0001515800767954989
2020-04-01,-0.0003439225179597827
2020-04-02,0.0001408560913561674
2020-04-03,-4.974357264964091e-05
2020-04-07,-0.0018221210121924791
2020-04-08,-0.0003781927638824752
2020-04-09,8.572092916810567e-05
2020-04-10,0.00019344209651012134
2020-04-13,0.0001401525246449431
2020-04-14,-0.00023318232802595668
2020-04-15,6.23379933806604e-05
2020-04-16,-9.189167678828418e-05
2020-04-17,-0.0002082196453666585
2020-04-20,0.00032366408823017445
2020-04-21,-0.00022301602598362447
2020-04-22,-0.0002561691399101118
2020-04-23,-0.0002795750369939398
2020-04-24,-0.00018362133824971022
2020-04-27,-4.353709654381088e-05
2020-04-28,1.58711157912661e-05
2020-04-29,-0.00018544278190365154
2020-04-30,3.17717386192351e-05
2020-05-06,0.0004729499519341429
2020-05-07,0.0008519785865322427
2020-05-08,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,-8.854018304471634e-06
2020-06-04,-0.0008365852368890647
2020-06-05,-0.00025341867457762124
2020-06-08,0.0005904954387864758
2020-06-09,0.0004442508349474794
2020-06-10,1.0030263286608943e-09
2020-06-11,0.0002508299452476104
2020-06-12,0.00010063668016579985
2020-06-15,-4.736459992804587e-05
2020-06-16,-0.0007442786403763502
2020-06-17,-0.0006462003448877707
2020-06-18,0.0001995385860718013
2020-06-19,-0.00019884673309134016
2020-06-22,-0.0008460252750512876
2020-06-23,-0.0002531592205649025
2020-06-24,0.0009490344776578175
2020-06-29,0.0005007423622839235
2020-06-30,0.00014964641604620077
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,-0.0007008731493212683
2020-07-09,-0.0011087487011974817
2020-07-10,0.0001485800356368916
2020-07-13,-0.0007012793185453281
2020-07-14,-9.837453448001689e-05
2020-07-15,8.118299194442846e-05
2020-07-16,0.00017143551423861222
2020-07-17,2.435768470367601e-05
2020-07-20,0.00017013515226501258
2020-07-21,0.0005750589671594993
2020-07-22,0.00022227595020329893
2020-07-23,0.00040056943456201477
2020-07-24,0.0
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-24,0.0
2020-08-25,-0.00020147356983057918
2020-08-26,0.00016601671928623274
2020-08-27,-7.437762287537675e-05
2020-08-28,-7.602901713132937e-05
2020-08-31,0.00011682928432138473
2020-09-01,9.546120972925287e-06
2020-09-02,7.685278324496651e-05
2020-09-03,-8.868258480979052e-05
2020-09-04,6.659110278159353e-05
2020-09-07,0.00013404549549661526
2020-09-08,-9.342227055125774e-05
2020-09-09,4.564100320469944e-05
2020-09-10,4.5623970793107205e-05
2020-09-11,-9.381751153991758e-05
2020-09-14,9.166221101630789e-05
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,4.6327472397245106e-05
2020-10-09,-0.0002780081854826255
2020-10-12,0.00024309061107652408
2020-10-13,-7.255602036748687e-05
2020-10-14,-7.023589217930448e-05
2020-10-15,-0.00011716814783679919
2020-10-16,-9.561874156405192e-05
2020-10-19,-9.733566231368007e-05
2020-10-20,0.00017221252040866553
2020-10-21,9.719863481379619e-06
2020-10-22,-2.7614659530161845e-06
2020-10-23,-7.88762528271351e-05
2020-10-26,-1.9123361691260804e-05
2020-10-27,0.00011530983803405745
2020-10-28,-4.583459313423077e-05
2020-10-29,-9.340433868360032e-05
2020-10-30,0.00015212468048320105
2020-11-02,4.244478973380872e-05
2020-11-03,-4.515139351846109e-06
2020-11-04,8.710885661111778e-05
2020-11-05,0.0
2020-11-06,-4.648889277997226e-05
2020-11-09,9.298192170614783e-05
2020-11-10,0.0
2020-11-11,-4.648006247898184e-05
2020-11-12,0.00018992520604582674
2020-11-13,0.0
2020-11-16,0.0
2020-11-17,-0.0003180258974764816
2020-11-18,-0.0003899859572538966
2020-11-19,-0.0004823028112807918
2020-11-20,-0.0005044416847022615
2020-11-23,-0.0010350114384524156
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,-9.025387936056894e-05
2020-12-03,-6.808972122857027e-05
2020-12-04,-9.260230680374626e-05
2020-12-07,8.718710736432822e-06
2020-12-08,-1.6124743397127883e-05
2020-12-09,-0.00011641853410915282
2020-12-10,3.3893522645545016e-05
2020-12-11,-0.00012304634680504467
2020-12-14,-3.942169593912359e-05
2020-12-15,-1.82753233855526e-05
2020-12-16,-6.124377271038428e-05
2020-12-17,-6.677173965874417e-05
2020-12-18,-9.2640378734965e-05
2020-12-21,8.33214603001009e-05
2020-12-22,-0.00013265897370329238
2020-12-23,-8.889784502624787e-05
2020-12-24,-0.00018709579162701218
2020-12-25,4.465526208613513e-06
