,PairsTrading
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.013101316088041715
2020-04-16,-0.006422198254961153
2020-04-17,-0.0043478260869584395
2020-04-18,-0.018511970905927044
2020-04-19,0.004026659261102683
2020-04-20,0.016702715693554415
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,-0.051198876982215036
2020-04-24,0.016424807755631737
2020-04-25,-0.02110909732476296
2020-04-26,-0.004831284689217119
2020-04-27,-0.014706245726285289
2020-04-28,-0.001304763073388393
2020-04-29,-0.009878673603033017
2020-04-30,-0.009306380119177421
2020-05-01,-0.02378073876962905
2020-05-02,0.02477230369989118
2020-05-03,-0.0045027045385293285
2020-05-04,-0.01454857846596469
2020-05-05,0.04717780383520204
2020-05-06,-0.0005401089251680369
2020-05-07,0.016669575349629706
2020-05-08,-0.01844181610692166
2020-05-09,0.006360259188750253
2020-05-10,-0.010844248795388794
2020-05-11,-0.10593971631205679
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.017672338874295812
2020-06-04,0.032427658454489805
2020-06-05,-0.006103127357296678
2020-06-06,-0.043589886881355344
2020-06-07,0.008697456963150996
2020-06-08,-0.035683189765267964
2020-06-09,-0.026094831495279802
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,-0.011040574266411307
2020-07-03,-0.22260763824721186
2020-07-04,0.04138160904996824
2020-07-05,-0.008447475353936806
2020-07-06,0.0763000922879693
2020-07-07,-0.024639194329829722
2020-07-08,-0.01783633661939371
2020-07-09,0.000923010018076903
2020-07-10,0.01324221699851641
2020-07-11,-0.02685274622904152
2020-07-12,-0.005585496368197537
2020-07-13,0.018300129734146006
2020-07-14,-0.03334077672012663
2020-07-15,-0.0034359636335438287
2020-07-16,-0.021747711340544915
2020-07-17,-0.006534065038653651
2020-07-18,-0.0017463011435103197
2020-07-19,-0.039285101836097375
2020-07-20,0.03484898495262681
2020-07-21,0.01762599084527272
2020-07-22,0.015583121429647129
2020-07-23,0.05632022407615181
2020-07-24,-0.06038999184769567
2020-07-25,0.06616285883271555
2020-07-26,0.0056326595682453795
2020-07-27,0.0316670332731534
2020-07-28,-0.03673408615229312
2020-07-29,0.032836487132324454
2020-07-30,-0.004653288263296029
2020-07-31,0.005595782936833216
2020-08-01,0.0
2020-08-02,-0.012852302406093918
2020-08-03,0.0027579149398735403
2020-08-04,0.003626375631104295
2020-08-05,-0.027783346595240954
2020-08-06,0.0
2020-08-07,0.0
2020-08-08,0.0
2020-08-09,0.00391687141687147
2020-08-10,-0.042086166278766435
2020-08-11,-0.009542040218601167
2020-08-12,-0.03133005728182425
2020-08-13,0.0031778059147164472
2020-08-14,-0.038054788288333474
2020-08-15,0.0042685186557761545
2020-08-16,-0.053719918943619605
2020-08-17,-0.031567618580153334
2020-08-18,-0.022931018212701826
2020-08-19,0.008290447299345083
2020-08-20,-0.08747518924510067
2020-08-21,0.06459366614110745
2020-08-22,-0.030391109435226937
2020-08-23,0.005062219099772003
2020-08-24,-0.12951110207000294
2020-08-25,-0.06022931083787447
2020-08-26,-0.027237194834960177
2020-08-27,0.01203668034205635
2020-08-28,-0.01845437663908034
2020-08-29,0.011210246058730833
2020-08-30,0.02754100900259243
2020-08-31,0.015421969158815052
2020-09-01,0.018751623330130363
2020-09-02,-0.000990240765129713
2020-09-03,0.03646691355746795
2020-09-04,0.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.0
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-10,0.0
2020-10-11,-0.1245700760135009
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,0.0
2020-10-20,0.0
