,PairsTrading
2019-02-01,0.0
2019-02-11,-0.005676250445829756
2019-02-12,0.00015015927846473431
2019-02-13,0.0027475693571368254
2019-02-14,0.001861920661558214
2019-02-15,-0.002257964727159889
2019-02-18,-0.006339459910503997
2019-02-19,0.0017575686690069897
2019-02-20,-0.0014147778165004565
2019-02-21,-0.00117476537994525
2019-02-22,-0.006943400203019779
2019-02-25,-0.003515143266152862
2019-02-26,0.0010002126835888683
2019-02-27,0.003361887109412723
2019-02-28,0.0003644365259090482
2019-03-01,-0.0011128822256307458
2019-03-04,-0.0039227363853308606
2019-03-05,-0.0015331295671655032
2019-03-06,-0.0035508920672207567
2019-03-07,0.0015736559718449172
2019-03-08,0.0012071646562129548
2019-03-11,-0.008649691960572914
2019-03-12,-0.006595438356189141
2019-03-13,0.006507666131894481
2019-03-14,0.0009284213545278641
2019-03-15,-0.004016397560307991
2019-03-18,0.00032500431747806147
2019-03-19,0.0022194051082007893
2019-03-20,0.008442151112923596
2019-03-21,-1.8122940193376902e-05
2019-03-22,0.00015110926688738369
2019-03-25,-0.004510271096425249
2019-03-26,0.00047977913992471434
2019-03-27,0.0008127366527274082
2019-03-28,-0.005181771835842647
2019-03-29,0.004002129307007385
2019-03-31,0.0
2019-04-01,-0.0049834141069933224
2019-04-02,0.006924816280384383
2019-04-03,0.001965850500566524
2019-04-04,-0.007458520848473649
2019-04-08,-0.0024792067760935343
2019-04-09,0.002678178469271745
2019-04-10,0.000488419486616598
2019-04-11,-0.00030440967976133604
2019-04-12,-0.0050372541387549985
2019-04-15,0.0006532231240947428
2019-04-16,0.003963379280845281
2019-04-17,-0.0031586030974020407
2019-04-18,0.0019414846363100535
2019-04-19,0.005078485687904033
2019-04-22,-0.016375957122749862
2019-04-23,-0.0010836501015521471
2019-04-24,-0.0018890764345779187
2019-04-25,-0.008775900050138119
2019-04-26,0.001411022962566677
2019-04-29,-0.0018281842272986348
2019-04-30,-0.005333170971101531
2019-05-06,0.003959120035328334
2019-05-07,0.002880166681986651
2019-05-08,0.0062247328917385825
2019-05-09,0.006581058086315261
2019-05-10,0.0
2019-05-13,0.0
2019-05-14,0.0
2019-05-15,0.0
2019-05-16,0.0
2019-05-17,-0.0005685369112750638
2019-05-20,0.011305189737104648
2019-05-21,0.0
2019-05-22,0.0
2019-05-23,0.0
2019-05-24,0.0
2019-05-27,0.0
2019-05-28,0.0
2019-05-29,0.0
2019-05-30,0.0
2019-05-31,0.0
2019-06-03,0.00240094165282706
2019-06-04,0.00556832906671717
2019-06-05,0.0
2019-06-06,0.0
2019-06-10,0.0
2019-06-11,0.0
2019-06-12,0.0
2019-06-13,0.0
2019-06-14,0.0
2019-06-17,0.0
2019-06-18,0.0
2019-06-19,0.0
2019-06-20,0.0
2019-06-21,0.0
2019-06-24,0.0
2019-06-25,0.0
2019-06-26,0.0
2019-06-27,0.0
2019-06-28,0.002059870566988642
2019-06-30,5.775922800721478e-05
2019-07-01,-0.0059100327773319306
2019-07-02,0.004258222397747313
2019-07-03,0.00378250946521691
2019-07-04,0.003586223468948768
2019-07-05,5.489679731052188e-05
2019-07-08,0.0014772418596716852
2019-07-09,-0.0018318489119202863
2019-07-10,-0.002962951634787825
2019-07-11,-0.0005687051945954535
2019-07-12,0.0005839708227486362
2019-07-15,-0.0022121364956676492
2019-07-16,0.005672732850071027
2019-07-17,0.0
2019-07-18,0.003798223966441583
2019-07-19,0.0005024795301434848
2019-07-22,-0.00251905267213004
2019-07-23,-0.0016425764741583027
2019-07-24,0.0002248234655480852
2019-07-25,-0.0005078986561297127
2019-07-26,-0.0019120171253175222
2019-07-29,-0.003284874389336362
2019-07-30,0.002549639073843313
2019-07-31,-0.0033797367685276802
2019-08-01,0.00017125632799389057
2019-08-02,0.0027813652778060916
2019-08-05,-0.0006431962346588604
2019-08-06,0.001991634325402225
2019-08-07,0.0023290610391484834
2019-08-08,-0.0052212032172184175
2019-08-09,-0.0019317945955126536
2019-08-12,-0.005358198512712575
2019-08-13,-0.0015588872388642983
2019-08-14,-0.003528014535220614
2019-08-15,-0.0024262432825031266
2019-08-16,0.00017719141561806095
2019-08-19,-0.008113574714750105
2019-08-20,0.001820931229729983
2019-08-21,0.0009206432715924695
2019-08-22,0.0005110947254819789
2019-08-23,-0.0011935035270539966
2019-08-26,0.0003001487347598273
2019-08-27,0.0010944460283787896
2019-08-28,0.0011194370986940538
2019-08-29,-0.0002654926099491528
2019-08-30,-0.004377666621032755
2019-08-31,0.00023983283205647465
2019-09-02,0.00023645373208991405
